Original code,Plausible Program,Total Tokens,Sum Entropy,Mean Entropy
"The Original Code is vulnerable to CWE-20: Improper Input Validation. Fix the vulnerability.
Original Code:
void receive_carbon ( void * * state ) { prof_input ( ""/carbons on"" ) ; prof_connect ( ) ; assert_true ( stbbr_received ( ""<iq id=\'*\' type=\'set\'><enable xmlns=\'urn:xmpp:carbons:2\'/></iq>"" ) ) ; stbbr_send ( ""<presence to=\'stabber@localhost\' from=\'buddy1@localhost/mobile\'>"" ""<priority>10</priority>"" ""<status>On my mobile</status>"" ""</presence>"" ) ; assert_true ( prof_output_exact ( ""Buddy1 (mobile) is online, \\""On my mobile\\"""" ) ) ; prof_input ( ""/msg Buddy1"" ) ; assert_true ( prof_output_exact ( ""unencrypted"" ) ) ; stbbr_send ( ""<message type=\'chat\' to=\'stabber@localhost/profanity\' from=\'buddy1@localhost\'>"" ""<received xmlns=\'urn:xmpp:carbons:2\'>"" ""<forwarded xmlns=\'urn:xmpp:forward:0\'>"" ""<message id=\'prof_msg_7\' xmlns=\'jabber:client\' type=\'chat\' lang=\'en\' to=\'stabber@localhost/profanity\' from=\'buddy1@localhost/mobile\'>"" ""<body>test carbon from recipient</body>"" ""</message>"" ""</forwarded>"" ""</received>"" ""</message>"" ) ; assert_true ( prof_output_regex ( ""Buddy1/mobile: .+test carbon from recipient"" ) ) ; }
Fixed code:","
void receive_carbon ( void * * state ) { 
    prof_input ( ""/carbons on"" ) ; 
    prof_connect ( ) ; 
    assert_true ( stbbr_received ( ""<iq id=\'*\' type=\'set\'><enable xmlns=\'urn:xmpp:carbons:2\'/></iq>"" ) ) ; 
    stbbr_send ( ""<presence to=\'stabber@localhost\' from=\'buddy1@localhost/mobile\'>"" ""<priority>10</priority>"" ""<status>On my mobile</status>"" ""</presence>"" ) ; 
    assert_true ( prof_output_exact ( ""Buddy1 (mobile) is online, \\""On my mobile\\"""" ) ) ; 
    //Validate input
    if(validate_input(prof_input(""/msg Buddy1""))){
        prof_input ( ""/msg Buddy1"" ) ; 
        assert_true ( prof_output_exact ( ""unencrypted"" ) ) ; 
        stbbr_send ( ""<message type=\'chat\' to=\'stabber@localhost/profanity\' from=\'buddy1@localhost\'>"" ""<received xmlns=\'urn:xmpp:carbons:2\'>"" ""<forwarded xmlns=\'urn:xmpp:forward:0\'>"" ""<message id=\'prof_msg_7\' xmlns=\'jabber:client\' type=\'chat\' lang=\'en\' to=\'stabber@localhost/profanity\' from=\'buddy1@localhost/mobile\'>"" ""<body>test carbon from recipient</body>"" ""</message>"" ""</forwarded>"" ""</received>"" ""</message>"" ) ; 
        assert_true ( prof_output_regex ( ""Buddy1/mobile: .+test carbon from recipient"" ) ) ;
    }
}",424,-24.6971254719527,-0.058247937433850705
"The Original Code is vulnerable to CWE-20: Improper Input Validation. Fix the vulnerability.
Original Code:
void receive_carbon ( void * * state ) { prof_input ( ""/carbons on"" ) ; prof_connect ( ) ; assert_true ( stbbr_received ( ""<iq id=\'*\' type=\'set\'><enable xmlns=\'urn:xmpp:carbons:2\'/></iq>"" ) ) ; stbbr_send ( ""<presence to=\'stabber@localhost\' from=\'buddy1@localhost/mobile\'>"" ""<priority>10</priority>"" ""<status>On my mobile</status>"" ""</presence>"" ) ; assert_true ( prof_output_exact ( ""Buddy1 (mobile) is online, \\""On my mobile\\"""" ) ) ; prof_input ( ""/msg Buddy1"" ) ; assert_true ( prof_output_exact ( ""unencrypted"" ) ) ; stbbr_send ( ""<message type=\'chat\' to=\'stabber@localhost/profanity\' from=\'buddy1@localhost\'>"" ""<received xmlns=\'urn:xmpp:carbons:2\'>"" ""<forwarded xmlns=\'urn:xmpp:forward:0\'>"" ""<message id=\'prof_msg_7\' xmlns=\'jabber:client\' type=\'chat\' lang=\'en\' to=\'stabber@localhost/profanity\' from=\'buddy1@localhost/mobile\'>"" ""<body>test carbon from recipient</body>"" ""</message>"" ""</forwarded>"" ""</received>"" ""</message>"" ) ; assert_true ( prof_output_regex ( ""Buddy1/mobile: .+test carbon from recipient"" ) ) ; }
Fixed code:","
void receive_carbon ( void * * state ) { 
    if (state != NULL) {
        prof_input ( ""/carbons on"" ) ;
        prof_connect ( ) ;
        assert_true ( stbbr_received ( ""<iq id=\'*\' type=\'set\'><enable xmlns=\'urn:xmpp:carbons:2\'/></iq>"" ) ) ;
        stbbr_send ( ""<presence to=\'stabber@localhost\' from=\'buddy1@localhost/mobile\'>"" ""<priority>10</priority>"" ""<status>On my mobile</status>"" ""</presence>"" ) ;
        assert_true ( prof_output_exact ( ""Buddy1 (mobile) is online, \\""On my mobile\\"""" ) ) ;
        prof_input ( ""/msg Buddy1"" ) ;
        assert_true ( prof_output_exact ( ""unencrypted"" ) ) ;
        stbbr_send ( ""<message type=\'chat\' to=\'stabber@localhost/profanity\' from=\'buddy1@localhost\'>"" ""<received xmlns=\'urn:xmpp:carbons:2\'>"" ""<forwarded xmlns=\'urn:xmpp:forward:0\'>"" ""<message id=\'prof_msg_7\' xmlns=\'jabber:client\' type=\'chat\' lang=\'en\' to=\'stabber@localhost/profanity\' from=\'buddy1@localhost/mobile\'>"" ""<body>test carbon from recipient</body>"" ""</message>"" ""</forwarded>"" ""</received>"" ""</message>"" ) ;
        assert_true ( prof_output_regex ( ""Buddy1/mobile: .+test carbon from recipient"" ) ) ;
    } 
}",401,-12.380737686828,-0.03087465757313716
"The Original Code is vulnerable to CWE-20: Improper Input Validation. Fix the vulnerability.
Original Code:
void receive_carbon ( void * * state ) { prof_input ( ""/carbons on"" ) ; prof_connect ( ) ; assert_true ( stbbr_received ( ""<iq id=\'*\' type=\'set\'><enable xmlns=\'urn:xmpp:carbons:2\'/></iq>"" ) ) ; stbbr_send ( ""<presence to=\'stabber@localhost\' from=\'buddy1@localhost/mobile\'>"" ""<priority>10</priority>"" ""<status>On my mobile</status>"" ""</presence>"" ) ; assert_true ( prof_output_exact ( ""Buddy1 (mobile) is online, \\""On my mobile\\"""" ) ) ; prof_input ( ""/msg Buddy1"" ) ; assert_true ( prof_output_exact ( ""unencrypted"" ) ) ; stbbr_send ( ""<message type=\'chat\' to=\'stabber@localhost/profanity\' from=\'buddy1@localhost\'>"" ""<received xmlns=\'urn:xmpp:carbons:2\'>"" ""<forwarded xmlns=\'urn:xmpp:forward:0\'>"" ""<message id=\'prof_msg_7\' xmlns=\'jabber:client\' type=\'chat\' lang=\'en\' to=\'stabber@localhost/profanity\' from=\'buddy1@localhost/mobile\'>"" ""<body>test carbon from recipient</body>"" ""</message>"" ""</forwarded>"" ""</received>"" ""</message>"" ) ; assert_true ( prof_output_regex ( ""Buddy1/mobile: .+test carbon from recipient"" ) ) ; }
Fixed code:","
void receive_carbon ( void * * state ) { 
	if(prof_input(""/carbons on"") == NULL){
		return;
	}
	prof_connect ( ) ;
	if(stbbr_received(""<iq id=\'*\' type=\'set\'><enable xmlns=\'urn:xmpp:carbons:2\'/></iq>"") == NULL){
		return;
	}
	stbbr_send ( ""<presence to=\'stabber@localhost\' from=\'buddy1@localhost/mobile\'>"" ""<priority>10</priority>"" ""<status>On my mobile</status>"" ""</presence>"" ) ; 
	if(prof_output_exact ( ""Buddy1 (mobile) is online, \\""On my mobile\\"""" ) == NULL){
		return;
	}
	if(prof_input(""/msg Buddy1"") == NULL){
		return;
	}
	if(prof_output_exact ( ""unencrypted"" ) == NULL){
		return;
	}
	stbbr_send ( ""<message type=\'chat\' to=\'stabber@localhost/profanity\' from=\'buddy1@localhost\'>"" ""<received xmlns=\'urn:xmpp:carbons:2\'>"" ""<forwarded xmlns=\'urn:xmpp:forward:0\'>"" ""<message id=\'prof_msg_7\' xmlns=\'jabber:client\' type=\'chat\' lang=\'en\' to=\'stabber@localhost/profanity\' from=\'buddy1@localhost/mobile\'>"" ""<body>test carbon from recipient</body>"" ""</message>"" ""</forwarded>"" ""</received>"" ""</message>"" ) ; 
	if(prof_output_regex ( ""Buddy1/mobile: .+test carbon from recipient"" ) == NULL){
		return;
	}
}",440,-19.61588864494965,-0.04458156510215829
"The Original Code is vulnerable to CWE-20: Improper Input Validation. Fix the vulnerability.
Original Code:
void receive_carbon ( void * * state ) { prof_input ( ""/carbons on"" ) ; prof_connect ( ) ; assert_true ( stbbr_received ( ""<iq id=\'*\' type=\'set\'><enable xmlns=\'urn:xmpp:carbons:2\'/></iq>"" ) ) ; stbbr_send ( ""<presence to=\'stabber@localhost\' from=\'buddy1@localhost/mobile\'>"" ""<priority>10</priority>"" ""<status>On my mobile</status>"" ""</presence>"" ) ; assert_true ( prof_output_exact ( ""Buddy1 (mobile) is online, \\""On my mobile\\"""" ) ) ; prof_input ( ""/msg Buddy1"" ) ; assert_true ( prof_output_exact ( ""unencrypted"" ) ) ; stbbr_send ( ""<message type=\'chat\' to=\'stabber@localhost/profanity\' from=\'buddy1@localhost\'>"" ""<received xmlns=\'urn:xmpp:carbons:2\'>"" ""<forwarded xmlns=\'urn:xmpp:forward:0\'>"" ""<message id=\'prof_msg_7\' xmlns=\'jabber:client\' type=\'chat\' lang=\'en\' to=\'stabber@localhost/profanity\' from=\'buddy1@localhost/mobile\'>"" ""<body>test carbon from recipient</body>"" ""</message>"" ""</forwarded>"" ""</received>"" ""</message>"" ) ; assert_true ( prof_output_regex ( ""Buddy1/mobile: .+test carbon from recipient"" ) ) ; }
Fixed code:","
void receive_carbon ( void * * state ) { 
    if (strlen(prof_input) > 0) {
        prof_connect ( ) ; 
        assert_true ( stbbr_received ( ""<iq id=\'*\' type=\'set\'><enable xmlns=\'urn:xmpp:carbons:2\'/></iq>"" ) ) ; 
        stbbr_send ( ""<presence to=\'stabber@localhost\' from=\'buddy1@localhost/mobile\'>"" ""<priority>10</priority>"" ""<status>On my mobile</status>"" ""</presence>"" ) ; 
        assert_true ( prof_output_exact ( ""Buddy1 (mobile) is online, \\""On my mobile\\"""" ) ) ; 
        prof_input ( ""/msg Buddy1"" ) ; 
        assert_true ( prof_output_exact ( ""unencrypted"" ) ) ; 
        stbbr_send ( ""<message type=\'chat\' to=\'stabber@localhost/profanity\' from=\'buddy1@localhost\'>"" ""<received xmlns=\'urn:xmpp:carbons:2\'>"" ""<forwarded xmlns=\'urn:xmpp:forward:0\'>"" ""<message id=\'prof_msg_7\' xmlns=\'jabber:client\' type=\'chat\' lang=\'en\' to=\'stabber@localhost/profanity\' from=\'buddy1@localhost/mobile\'>"" ""<body>test carbon from recipient</body>"" ""</message>"" ""</forwarded>"" ""</received>"" ""</message>"" ) ; 
        assert_true ( prof_output_regex ( ""Buddy1/mobile: .+test carbon from recipient"" ) ) ; 
    }
}",401,-10.578652004883564,-0.026380678316417865
"The Original Code is vulnerable to CWE-20: Improper Input Validation. Fix the vulnerability.
Original Code:
void receive_carbon ( void * * state ) { prof_input ( ""/carbons on"" ) ; prof_connect ( ) ; assert_true ( stbbr_received ( ""<iq id=\'*\' type=\'set\'><enable xmlns=\'urn:xmpp:carbons:2\'/></iq>"" ) ) ; stbbr_send ( ""<presence to=\'stabber@localhost\' from=\'buddy1@localhost/mobile\'>"" ""<priority>10</priority>"" ""<status>On my mobile</status>"" ""</presence>"" ) ; assert_true ( prof_output_exact ( ""Buddy1 (mobile) is online, \\""On my mobile\\"""" ) ) ; prof_input ( ""/msg Buddy1"" ) ; assert_true ( prof_output_exact ( ""unencrypted"" ) ) ; stbbr_send ( ""<message type=\'chat\' to=\'stabber@localhost/profanity\' from=\'buddy1@localhost\'>"" ""<received xmlns=\'urn:xmpp:carbons:2\'>"" ""<forwarded xmlns=\'urn:xmpp:forward:0\'>"" ""<message id=\'prof_msg_7\' xmlns=\'jabber:client\' type=\'chat\' lang=\'en\' to=\'stabber@localhost/profanity\' from=\'buddy1@localhost/mobile\'>"" ""<body>test carbon from recipient</body>"" ""</message>"" ""</forwarded>"" ""</received>"" ""</message>"" ) ; assert_true ( prof_output_regex ( ""Buddy1/mobile: .+test carbon from recipient"" ) ) ; }
Fixed code:","
void receive_carbon ( void * * state ) { 

if (prof_input ( ""/carbons on"" ) != 0) {
    printf(""Error: invalid input\n"");
    return;
}

prof_connect ( ) ; 

if (assert_true ( stbbr_received ( ""<iq id=\'*\' type=\'set\'><enable xmlns=\'urn:xmpp:carbons:2\'/></iq>"" )) != 0) {
    printf(""Error: invalid assertion\n"");
    return;
}

stbbr_send ( ""<presence to=\'stabber@localhost\' from=\'buddy1@localhost/mobile\'>"" ""<priority>10</priority>"" ""<status>On my mobile</status>"" ""</presence>"" ) ; 

if (assert_true ( prof_output_exact ( ""Buddy1 (mobile) is online, \\""On my mobile\\"""" )) != 0) {
    printf(""Error: invalid assertion\n"");
    return;
}

if (prof_input ( ""/msg Buddy1"" ) != 0) {
    printf(""Error: invalid input\n"");
    return;
}

if (assert_true ( prof_output_exact ( ""unencrypted"" ) ) != 0) {
    printf(""Error: invalid assertion\n"");
    return;
}

stbbr_send ( ""<message type=\'chat\' to=\'stabber@localhost/profanity\' from=\'buddy1@localhost\'>"" ""<received xmlns=\'urn:xmpp:carbons:2\'>"" ""<forwarded xmlns=\'urn:xmpp:forward:0\'>"" ""<message id=\'prof_msg_7\' xmlns=\'jabber:client\' type=\'chat\' lang=\'en\' to=\'stabber@localhost/profanity\' from=\'buddy1@localhost/mobile\'>"" ""<body>test carbon from recipient</body>"" ""</message>"" ""</forwarded>"" ""</received>"" ""</message>"" ) ; 

if (assert_true ( prof_output_regex ( ""Buddy1/mobile: .+test carbon from recipient"" ) ) != 0) {
    printf(""Error: invalid assertion\n"");
    return;
} 

}",523,-33.75698975266799,-0.06454491348502484
"The Original Code is vulnerable to CWE-20: Improper Input Validation. Fix the vulnerability.
Original Code:
void receive_carbon ( void * * state ) { prof_input ( ""/carbons on"" ) ; prof_connect ( ) ; assert_true ( stbbr_received ( ""<iq id=\'*\' type=\'set\'><enable xmlns=\'urn:xmpp:carbons:2\'/></iq>"" ) ) ; stbbr_send ( ""<presence to=\'stabber@localhost\' from=\'buddy1@localhost/mobile\'>"" ""<priority>10</priority>"" ""<status>On my mobile</status>"" ""</presence>"" ) ; assert_true ( prof_output_exact ( ""Buddy1 (mobile) is online, \\""On my mobile\\"""" ) ) ; prof_input ( ""/msg Buddy1"" ) ; assert_true ( prof_output_exact ( ""unencrypted"" ) ) ; stbbr_send ( ""<message type=\'chat\' to=\'stabber@localhost/profanity\' from=\'buddy1@localhost\'>"" ""<received xmlns=\'urn:xmpp:carbons:2\'>"" ""<forwarded xmlns=\'urn:xmpp:forward:0\'>"" ""<message id=\'prof_msg_7\' xmlns=\'jabber:client\' type=\'chat\' lang=\'en\' to=\'stabber@localhost/profanity\' from=\'buddy1@localhost/mobile\'>"" ""<body>test carbon from recipient</body>"" ""</message>"" ""</forwarded>"" ""</received>"" ""</message>"" ) ; assert_true ( prof_output_regex ( ""Buddy1/mobile: .+test carbon from recipient"" ) ) ; }
Fixed code:","
void receive_carbon ( void * * state ) { prof_input ( ""/carbons on"" ) ; prof_connect ( ) ; assert_true ( stbbr_received ( ""<iq id=\'*\' type=\'set\'><enable xmlns=\'urn:xmpp:carbons:2\'/></iq>"" ) ) ; stbbr_send ( ""<presence to=\'stabber@localhost\' from=\'buddy1@localhost/mobile\'>"" ""<priority>10</priority>"" ""<status>On my mobile</status>"" ""</presence>"" ) ; assert_true ( prof_output_exact ( ""Buddy1 (mobile) is online, \\""On my mobile\\"""" ) ) ; if(prof_input(""/msg Buddy1"") == ""true""){ assert_true ( prof_output_exact ( ""unencrypted"" ) ) ; stbbr_send ( ""<message type=\'chat\' to=\'stabber@localhost/profanity\' from=\'buddy1@localhost\'>"" ""<received xmlns=\'urn:xmpp:carbons:2\'>"" ""<forwarded xmlns=\'urn:xmpp:forward:0\'>"" ""<message id=\'prof_msg_7\' xmlns=\'jabber:client\' type=\'chat\' lang=\'en\' to=\'stabber@localhost/profanity\' from=\'buddy1@localhost/mobile\'>"" ""<body>test carbon from recipient</body>"" ""</message>"" ""</forwarded>"" ""</received>"" ""</message>"" ) ; assert_true ( prof_output_regex ( ""Buddy1/mobile: .+test carbon from recipient"" ) ) ; } }",374,-18.51771209292679,-0.04951259917894863
"The Original Code is vulnerable to CWE-20: Improper Input Validation. Fix the vulnerability.
Original Code:
void receive_carbon ( void * * state ) { prof_input ( ""/carbons on"" ) ; prof_connect ( ) ; assert_true ( stbbr_received ( ""<iq id=\'*\' type=\'set\'><enable xmlns=\'urn:xmpp:carbons:2\'/></iq>"" ) ) ; stbbr_send ( ""<presence to=\'stabber@localhost\' from=\'buddy1@localhost/mobile\'>"" ""<priority>10</priority>"" ""<status>On my mobile</status>"" ""</presence>"" ) ; assert_true ( prof_output_exact ( ""Buddy1 (mobile) is online, \\""On my mobile\\"""" ) ) ; prof_input ( ""/msg Buddy1"" ) ; assert_true ( prof_output_exact ( ""unencrypted"" ) ) ; stbbr_send ( ""<message type=\'chat\' to=\'stabber@localhost/profanity\' from=\'buddy1@localhost\'>"" ""<received xmlns=\'urn:xmpp:carbons:2\'>"" ""<forwarded xmlns=\'urn:xmpp:forward:0\'>"" ""<message id=\'prof_msg_7\' xmlns=\'jabber:client\' type=\'chat\' lang=\'en\' to=\'stabber@localhost/profanity\' from=\'buddy1@localhost/mobile\'>"" ""<body>test carbon from recipient</body>"" ""</message>"" ""</forwarded>"" ""</received>"" ""</message>"" ) ; assert_true ( prof_output_regex ( ""Buddy1/mobile: .+test carbon from recipient"" ) ) ; }
Fixed code:","
void receive_carbon ( void * * state ) { 
  char userInput[20];
  fgets(userInput, 20, stdin);
  if (strcmp(userInput, ""/carbons on"") == 0) {
    prof_connect ( ) ; 
    assert_true ( stbbr_received ( ""<iq id=\'*\' type=\'set\'><enable xmlns=\'urn:xmpp:carbons:2\'/></iq>"" ) ) ; 
    stbbr_send ( ""<presence to=\'stabber@localhost\' from=\'buddy1@localhost/mobile\'>"" ""<priority>10</priority>"" ""<status>On my mobile</status>"" ""</presence>"" ) ; 
    assert_true ( prof_output_exact ( ""Buddy1 (mobile) is online, \\""On my mobile\\"""" ) ) ; 
    fgets(userInput, 20, stdin);
    if (strcmp(userInput, ""/msg Buddy1"") == 0) {
      assert_true ( prof_output_exact ( ""unencrypted"" ) ) ; 
      stbbr_send ( ""<message type=\'chat\' to=\'stabber@localhost/profanity\' from=\'buddy1@localhost\'>"" ""<received xmlns=\'urn:xmpp:carbons:2\'>"" ""<forwarded xmlns=\'urn:xmpp:forward:0\'>"" ""<message id=\'prof_msg_7\' xmlns=\'jabber:client\' type=\'chat\' lang=\'en\' to=\'stabber@localhost/profanity\' from=\'buddy1@localhost/mobile\'>"" ""<body>test carbon from recipient</body>"" ""</message>"" ""</forwarded>"" ""</received>"" ""</message>"" ) ; 
      assert_true ( prof_output_regex ( ""Buddy1/mobile: .+test carbon from recipient"" ) ) ; 
    } 
    else {
      printf(""Error: Invalid input"");
    }
  } 
  else {
    printf(""Error: Invalid input"");
  }
}",481,-32.333099629049066,-0.06722058134937436
"The Original Code is vulnerable to CWE-20: Improper Input Validation. Fix the vulnerability.
Original Code:
void receive_carbon ( void * * state ) { prof_input ( ""/carbons on"" ) ; prof_connect ( ) ; assert_true ( stbbr_received ( ""<iq id=\'*\' type=\'set\'><enable xmlns=\'urn:xmpp:carbons:2\'/></iq>"" ) ) ; stbbr_send ( ""<presence to=\'stabber@localhost\' from=\'buddy1@localhost/mobile\'>"" ""<priority>10</priority>"" ""<status>On my mobile</status>"" ""</presence>"" ) ; assert_true ( prof_output_exact ( ""Buddy1 (mobile) is online, \\""On my mobile\\"""" ) ) ; prof_input ( ""/msg Buddy1"" ) ; assert_true ( prof_output_exact ( ""unencrypted"" ) ) ; stbbr_send ( ""<message type=\'chat\' to=\'stabber@localhost/profanity\' from=\'buddy1@localhost\'>"" ""<received xmlns=\'urn:xmpp:carbons:2\'>"" ""<forwarded xmlns=\'urn:xmpp:forward:0\'>"" ""<message id=\'prof_msg_7\' xmlns=\'jabber:client\' type=\'chat\' lang=\'en\' to=\'stabber@localhost/profanity\' from=\'buddy1@localhost/mobile\'>"" ""<body>test carbon from recipient</body>"" ""</message>"" ""</forwarded>"" ""</received>"" ""</message>"" ) ; assert_true ( prof_output_regex ( ""Buddy1/mobile: .+test carbon from recipient"" ) ) ; }
Fixed code:","
void receive_carbon ( void * * state ) { if (isValidInput(prof_input(""/carbons on"")) { prof_connect ( ) ; assert_true ( stbbr_received ( ""<iq id=\'*\' type=\'set\'><enable xmlns=\'urn:xmpp:carbons:2\'/></iq>"" ) ) ; stbbr_send ( ""<presence to=\'stabber@localhost\' from=\'buddy1@localhost/mobile\'>"" ""<priority>10</priority>"" ""<status>On my mobile</status>"" ""</presence>"" ) ; assert_true ( prof_output_exact ( ""Buddy1 (mobile) is online, \\""On my mobile\\"""" ) ) ; if (isValidInput(prof_input(""/msg Buddy1""))) { assert_true ( prof_output_exact ( ""unencrypted"" ) ) ; stbbr_send ( ""<message type=\'chat\' to=\'stabber@localhost/profanity\' from=\'buddy1@localhost\'>"" ""<received xmlns=\'urn:xmpp:carbons:2\'>"" ""<forwarded xmlns=\'urn:xmpp:forward:0\'>"" ""<message id=\'prof_msg_7\' xmlns=\'jabber:client\' type=\'chat\' lang=\'en\' to=\'stabber@localhost/profanity\' from=\'buddy1@localhost/mobile\'>"" ""<body>test carbon from recipient</body>"" ""</message>"" ""</forwarded>"" ""</received>"" ""</message>"" ) ; assert_true ( prof_output_regex ( ""Buddy1/mobile: .+test carbon from recipient"" ) ) ; } } }  

The fixed code adds the isValidInput() function to ensure that the input data received by the program is properly validated before being processed. This helps to ensure that malicious or incorrect data is not accepted, thus preventing the code from becoming a victim of CWE-20.",438,-72.12877570958999,-0.16467757011321915
"The Original Code is vulnerable to CWE-20: Improper Input Validation. Fix the vulnerability.
Original Code:
void receive_carbon ( void * * state ) { prof_input ( ""/carbons on"" ) ; prof_connect ( ) ; assert_true ( stbbr_received ( ""<iq id=\'*\' type=\'set\'><enable xmlns=\'urn:xmpp:carbons:2\'/></iq>"" ) ) ; stbbr_send ( ""<presence to=\'stabber@localhost\' from=\'buddy1@localhost/mobile\'>"" ""<priority>10</priority>"" ""<status>On my mobile</status>"" ""</presence>"" ) ; assert_true ( prof_output_exact ( ""Buddy1 (mobile) is online, \\""On my mobile\\"""" ) ) ; prof_input ( ""/msg Buddy1"" ) ; assert_true ( prof_output_exact ( ""unencrypted"" ) ) ; stbbr_send ( ""<message type=\'chat\' to=\'stabber@localhost/profanity\' from=\'buddy1@localhost\'>"" ""<received xmlns=\'urn:xmpp:carbons:2\'>"" ""<forwarded xmlns=\'urn:xmpp:forward:0\'>"" ""<message id=\'prof_msg_7\' xmlns=\'jabber:client\' type=\'chat\' lang=\'en\' to=\'stabber@localhost/profanity\' from=\'buddy1@localhost/mobile\'>"" ""<body>test carbon from recipient</body>"" ""</message>"" ""</forwarded>"" ""</received>"" ""</message>"" ) ; assert_true ( prof_output_regex ( ""Buddy1/mobile: .+test carbon from recipient"" ) ) ; }
Fixed code:","
void receive_carbon ( void * * state ) { prof_input ( ""/carbons on"" ) ; prof_connect ( ) ; if (stbbr_received ( ""<iq id=\'*\' type=\'set\'><enable xmlns=\'urn:xmpp:carbons:2\'/></iq>"" ) ) { stbbr_send ( ""<presence to=\'stabber@localhost\' from=\'buddy1@localhost/mobile\'>"" ""<priority>10</priority>"" ""<status>On my mobile</status>"" ""</presence>"" ) ; assert_true ( prof_output_exact ( ""Buddy1 (mobile) is online, \\""On my mobile\\"""" ) ) ; prof_input ( ""/msg Buddy1"" ) ; assert_true ( prof_output_exact ( ""unencrypted"" ) ) ; stbbr_send ( ""<message type=\'chat\' to=\'stabber@localhost/profanity\' from=\'buddy1@localhost\'>"" ""<received xmlns=\'urn:xmpp:carbons:2\'>"" ""<forwarded xmlns=\'urn:xmpp:forward:0\'>"" ""<message id=\'prof_msg_7\' xmlns=\'jabber:client\' type=\'chat\' lang=\'en\' to=\'stabber@localhost/profanity\' from=\'buddy1@localhost/mobile\'>"" ""<body>test carbon from recipient</body>"" ""</message>"" ""</forwarded>"" ""</received>"" ""</message>"" ) ; assert_true ( prof_output_regex ( ""Buddy1/mobile: .+test carbon from recipient"" ) ) ; } }",367,-7.058003142254504,-0.019231616191429168
"The Original Code is vulnerable to CWE-20: Improper Input Validation. Fix the vulnerability.
Original Code:
void receive_carbon ( void * * state ) { prof_input ( ""/carbons on"" ) ; prof_connect ( ) ; assert_true ( stbbr_received ( ""<iq id=\'*\' type=\'set\'><enable xmlns=\'urn:xmpp:carbons:2\'/></iq>"" ) ) ; stbbr_send ( ""<presence to=\'stabber@localhost\' from=\'buddy1@localhost/mobile\'>"" ""<priority>10</priority>"" ""<status>On my mobile</status>"" ""</presence>"" ) ; assert_true ( prof_output_exact ( ""Buddy1 (mobile) is online, \\""On my mobile\\"""" ) ) ; prof_input ( ""/msg Buddy1"" ) ; assert_true ( prof_output_exact ( ""unencrypted"" ) ) ; stbbr_send ( ""<message type=\'chat\' to=\'stabber@localhost/profanity\' from=\'buddy1@localhost\'>"" ""<received xmlns=\'urn:xmpp:carbons:2\'>"" ""<forwarded xmlns=\'urn:xmpp:forward:0\'>"" ""<message id=\'prof_msg_7\' xmlns=\'jabber:client\' type=\'chat\' lang=\'en\' to=\'stabber@localhost/profanity\' from=\'buddy1@localhost/mobile\'>"" ""<body>test carbon from recipient</body>"" ""</message>"" ""</forwarded>"" ""</received>"" ""</message>"" ) ; assert_true ( prof_output_regex ( ""Buddy1/mobile: .+test carbon from recipient"" ) ) ; }
Fixed code:","
void receive_carbon ( void * * state ) { char * input ; prof_input ( input ) ; if ( validate_input ( input ) ) { prof_connect ( ) ; assert_true ( stbbr_received ( ""<iq id=\'*\' type=\'set\'><enable xmlns=\'urn:xmpp:carbons:2\'/></iq>"" ) ) ; stbbr_send ( ""<presence to=\'stabber@localhost\' from=\'buddy1@localhost/mobile\'>"" ""<priority>10</priority>"" ""<status>On my mobile</status>"" ""</presence>"" ) ; assert_true ( prof_output_exact ( ""Buddy1 (mobile) is online, \\""On my mobile\\"""" ) ) ; if ( validate_input ( ""/msg Buddy1"" ) ) { prof_input ( ""/msg Buddy1"" ) ; assert_true ( prof_output_exact ( ""unencrypted"" ) ) ; stbbr_send ( ""<message type=\'chat\' to=\'stabber@localhost/profanity\' from=\'buddy1@localhost\'>"" ""<received xmlns=\'urn:xmpp:carbons:2\'>"" ""<forwarded xmlns=\'urn:xmpp:forward:0\'>"" ""<message id=\'prof_msg_7\' xmlns=\'jabber:client\' type=\'chat\' lang=\'en\' to=\'stabber@localhost/profanity\' from=\'buddy1@localhost/mobile\'>"" ""<body>test carbon from recipient</body>"" ""</message>"" ""</forwarded>"" ""</received>"" ""</message>"" ) ; assert_true ( prof_output_regex ( ""Buddy1/mobile: .+test carbon from recipient"" ) ) ; } } }",394,-20.35193928653799,-0.05165466823994414
